@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
63,'2017/11/02 23:29:36:957',1,344.920013,4.13,-3.1,0,0.1,0,0.43,0
64,'2017/11/02 23:29:37:027',1,344.920013,4.35,-3.4,0,0.1,0,0.43,0
65,'2017/11/02 23:29:37:077',1,344.829987,4.51,-3.61,0,0.1,0,0.43,0
66,'2017/11/02 23:29:37:140',1,344.730011,4.67,-3.95,0,0.1,0,0.43,0
67,'2017/11/02 23:29:37:199',1,344.769989,4.73,-4.15,0,0.1,0,0.43,0
68,'2017/11/02 23:29:37:262',1,345.070007,4.72,-4.24,0,0.1,0,0.43,0
69,'2017/11/02 23:29:37:323',1,345.179993,4.48,-4.47,0,0.1,0,0.43,0
70,'2017/11/02 23:29:37:396',1,345.100006,4.36,-4.35,0,0.1,0,0.43,0
71,'2017/11/02 23:29:37:444',1,344.98999,4.35,-4.39,0,0.1,0,0.43,0
72,'2017/11/02 23:29:37:505',1,345.079987,4.35,-4.3,0,0.1,0,0.43,0
73,'2017/11/02 23:29:37:560',1,345.209991,4.28,-4.41,0,0.1,0,0.43,0
74,'2017/11/02 23:29:37:623',1,345.51001,4.09,-4.42,0,0.1,0,0.43,0
75,'2017/11/02 23:29:37:691',1,345.730011,4,-4.29,0,0.1,0,0.43,0
76,'2017/11/02 23:29:37:743',1,345.950012,3.96,-4.25,0,0.1,0,0.43,0
77,'2017/11/02 23:29:37:807',1,346.079987,3.8,-4.34,0,0.1,0,0.43,0
78,'2017/11/02 23:29:37:872',1,346.119995,3.75,-4.26,0,0.1,0,0.43,0
79,'2017/11/02 23:29:37:943',1,346.029999,3.64,-4.26,0,0.1,0,0.43,0
80,'2017/11/02 23:29:37:980',1,345.910004,3.64,-4.25,0,0.1,0,0.43,0
81,'2017/11/02 23:29:38:039',1,345.75,3.61,-4.36,0,0.1,0,0.43,0
82,'2017/11/02 23:29:38:103',1,345.670013,3.63,-4.36,0,0.1,0,0.43,0
83,'2017/11/02 23:29:38:162',1,345.769989,3.72,-4.31,0,0.1,0,0.43,0
84,'2017/11/02 23:29:38:224',1,346.019989,3.8,-4.35,0,0.1,0,0.43,0
85,'2017/11/02 23:29:38:283',1,346.269989,3.91,-4.34,0,0.1,0,0.43,0
86,'2017/11/02 23:29:38:338',1,346.25,4.03,-4.34,0,0.1,0,0.43,0
87,'2017/11/02 23:29:38:407',1,346.089996,4.1,-4.54,0,0.1,0,0.43,0
88,'2017/11/02 23:29:38:457',1,345.790009,4.12,-4.67,0,0.1,0,0.43,0
89,'2017/11/02 23:29:38:523',1,345.529999,3.85,-4.73,0,0.1,0,0.43,0
90,'2017/11/02 23:29:38:582',1,345.519989,3.63,-4.6,0,0.1,0,0.43,0
91,'2017/11/02 23:29:38:717',1,345.829987,3.36,-4.74,0,0.1,0,0.43,0
92,'2017/11/02 23:29:38:717',1,345.899994,3.42,-4.71,0,0.1,0,0.43,0
93,'2017/11/02 23:29:38:781',1,345.959991,3.54,-4.75,0,0.1,0,0.43,0
94,'2017/11/02 23:29:38:826',1,345.950012,3.63,-4.86,0,0.1,0,0.43,0
95,'2017/11/02 23:29:38:876',1,345.940002,3.57,-4.9,0,0.1,0,0.43,0
96,'2017/11/02 23:29:38:938',1,345.820007,3.45,-5.06,0,0.1,0,0.43,0
97,'2017/11/02 23:29:39:000',1,345.799988,3.36,-5.35,0,0.1,0,0.43,0
98,'2017/11/02 23:29:39:129',1,345.820007,3.59,-5.33,0,0.1,0,0.43,0
99,'2017/11/02 23:29:39:129',1,345.929993,3.61,-5.45,0,0.1,0,0.43,0
100,'2017/11/02 23:29:39:177',1,345.940002,3.64,-5.33,0,0.1,0,0.43,0
101,'2017/11/02 23:29:39:237',1,346.049988,3.52,-5.21,0,0.1,0,0.43,0
102,'2017/11/02 23:29:39:300',1,346.070007,3.52,-5.15,0,0.1,0,0.43,0
103,'2017/11/02 23:29:39:371',1,346.029999,3.56,-5.24,0,0.1,0,0.43,0
104,'2017/11/02 23:29:39:451',1,346.01001,3.54,-5.26,0,0.1,0,0.43,0
105,'2017/11/02 23:29:39:533',1,345.910004,3.39,-5.26,0,0.1,0,0.43,0
106,'2017/11/02 23:29:39:616',1,345.869995,3.38,-5.2,0,0.1,0,0.43,0
107,'2017/11/02 23:29:39:688',1,345.859985,3.41,-5.18,0,0.1,0,0.43,0
108,'2017/11/02 23:29:39:764',1,345.890015,3.38,-5.18,0,0.1,0,0.43,0
109,'2017/11/02 23:30:09:028',2,344.029999,-3.56,50.59,0,0.96,0.08,0.58,0
110,'2017/11/02 23:30:09:062',2,344.100006,-3.55,50.959999,0,0.96,0.08,0.58,0
111,'2017/11/02 23:30:09:131',2,344.200012,-3.65,51.25,0,0.96,0.08,0.58,0
112,'2017/11/02 23:30:09:176',2,344.26001,-3.72,51.459999,0,0.96,0.08,0.58,0
113,'2017/11/02 23:30:09:240',2,344.209991,-3.77,51.650002,0,0.96,0.08,0.58,0
114,'2017/11/02 23:30:09:301',2,344.049988,-3.88,51.75,0,0.96,0.08,0.58,0
115,'2017/11/02 23:30:09:363',2,343.970001,-3.95,51.869999,0,0.96,0.08,0.58,0
116,'2017/11/02 23:30:09:416',2,343.950012,-3.99,52.029999,0,0.96,0.08,0.58,0
117,'2017/11/02 23:30:09:486',2,344.079987,-3.99,52.27,0,0.96,0.08,0.58,0
118,'2017/11/02 23:30:09:548',2,344.369995,-3.96,52.759998,0,0.96,0.08,0.58,0
119,'2017/11/02 23:30:09:601',2,344.630005,-3.85,53.650002,0,0.96,0.08,0.58,0
120,'2017/11/02 23:30:09:656',2,345.470001,-3.51,56.119999,0,0.96,0.08,0.58,0
121,'2017/11/02 23:30:09:720',2,345.519989,-3.38,56.450001,0,0.96,0.08,0.58,0
122,'2017/11/02 23:30:09:779',2,345.380005,-3.57,56.169998,0,0.96,0.08,0.58,0
123,'2017/11/02 23:30:09:852',2,345.220001,-3.56,56.119999,0,0.96,0.08,0.58,0
124,'2017/11/02 23:30:09:901',2,345.140015,-3.72,56.130001,0,0.96,0.08,0.58,0
125,'2017/11/02 23:30:09:960',2,345.130005,-3.84,56.240002,0,0.96,0.08,0.58,0
126,'2017/11/02 23:30:10:028',2,345.179993,-3.83,56.32,0,0.96,0.08,0.58,0
127,'2017/11/02 23:30:10:080',2,345.26001,-3.74,56.349998,0,0.96,0.08,0.58,0
128,'2017/11/02 23:30:10:139',2,345.339996,-3.77,56.34,0,0.96,0.08,0.58,0
129,'2017/11/02 23:30:10:204',2,345.320007,-3.86,56.330002,0,0.96,0.08,0.58,0
130,'2017/11/02 23:30:10:262',2,345.209991,-3.85,56.310001,0,0.96,0.08,0.58,0
131,'2017/11/02 23:30:10:336',2,345.209991,-3.92,56.349998,0,0.96,0.08,0.58,0
132,'2017/11/02 23:30:10:414',2,345.25,-3.98,56.52,0,0.96,0.08,0.58,0
133,'2017/11/02 23:30:10:475',2,345.320007,-4.03,56.580002,0,0.96,0.08,0.58,0
134,'2017/11/02 23:30:10:534',2,345.420013,-4.02,56.740002,0,0.96,0.08,0.58,0
135,'2017/11/02 23:30:10:611',2,345.429993,-4,56.790001,0,0.96,0.08,0.58,0
136,'2017/11/02 23:30:10:662',2,345.440002,-3.95,56.919998,0,0.96,0.08,0.58,0
137,'2017/11/02 23:30:10:711',2,345.399994,-4.04,56.939999,0,0.96,0.08,0.58,0
138,'2017/11/02 23:30:10:798',2,345.399994,-4.04,57.060001,0,0.96,0.08,0.58,0
139,'2017/11/02 23:30:10:828',2,345.369995,-4.05,57.009998,0,0.96,0.08,0.58,0
